Unix,Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USDT,tradecount
1.68705E+12,6/18/2023,BCHUSDT,106.7,108.8,105.6,107,34258.436,3681101.239,15184
1.68696E+12,6/17/2023,BCHUSDT,108.2,108.6,106.1,106.7,20624.112,2208695.392,10733
1.68687E+12,6/16/2023,BCHUSDT,104.8,109.5,102.7,108.1,19696.143,2082078.314,13217
1.68679E+12,6/15/2023,BCHUSDT,101.7,105.1,101.7,104.9,29187.914,3021090.272,13096
1.6867E+12,6/14/2023,BCHUSDT,105.4,106.3,100.5,101.7,24515.355,2545421.386,14398
1.68661E+12,6/13/2023,BCHUSDT,102.8,106.8,102.2,105.3,31135.101,3266570.763,18237
1.68653E+12,6/12/2023,BCHUSDT,102.8,104.2,100.5,102.7,20099.816,2056162.857,13550
1.68644E+12,6/11/2023,BCHUSDT,103.4,103.6,101.6,102.8,28551.014,2927718.669,12564
1.68636E+12,6/10/2023,BCHUSDT,110.8,111,90.3,103.4,144691.226,14471588.8,55407
1.68627E+12,6/9/2023,BCHUSDT,111.8,112.1,109.6,110.8,25473.668,2820477.371,10958
1.68618E+12,6/8/2023,BCHUSDT,111.1,112.5,110.2,111.9,17049.471,1901832.258,10826
1.6861E+12,6/7/2023,BCHUSDT,114.9,117.1,110,111.1,52617.497,5989628.926,23266
1.68601E+12,6/6/2023,BCHUSDT,108.7,115.1,107.5,114.9,50108.608,5607545.11,18899
1.68592E+12,6/5/2023,BCHUSDT,115.7,115.7,107,108.7,61000.736,6761058.74,25645
1.68584E+12,6/4/2023,BCHUSDT,114.9,117,114.1,115.7,36263.798,4213071.719,11765
1.68575E+12,6/3/2023,BCHUSDT,114.8,115.3,114.2,114.9,15120.556,1734793.178,6226
1.68566E+12,6/2/2023,BCHUSDT,113.3,115.4,112.8,114.9,27534.325,3148710.395,10663
1.68558E+12,6/1/2023,BCHUSDT,113.3,113.6,111.5,113.4,19159.636,2162555.868,9131
1.68549E+12,5/31/2023,BCHUSDT,113.9,114.3,112,113.2,34303.537,3877252.693,13262
1.6854E+12,5/30/2023,BCHUSDT,114.9,115.8,113.8,113.9,29794.614,3416103.442,13012
1.68532E+12,5/29/2023,BCHUSDT,116.5,117.3,114.6,114.9,36462.586,4216593.482,13995
1.68523E+12,5/28/2023,BCHUSDT,113.9,116.8,113.6,116.4,20725.449,2380722.057,8704
1.68515E+12,5/27/2023,BCHUSDT,113.2,114.1,112.1,113.8,11827.762,1338077.178,4945
1.68506E+12,5/26/2023,BCHUSDT,111.9,113.8,111.4,113.2,17662.873,1992478.605,7051
1.68497E+12,5/25/2023,BCHUSDT,112.1,112.4,109.2,111.9,21059.757,2342770.812,9583
1.68489E+12,5/24/2023,BCHUSDT,115.7,115.7,110.8,112.1,35368.587,3981200.253,14872
1.6848E+12,5/23/2023,BCHUSDT,114.7,117.4,114.7,115.7,23419.687,2717121.679,11449
1.68471E+12,5/22/2023,BCHUSDT,114.7,115.3,113,114.7,28252.406,3229594.241,11458
1.68463E+12,5/21/2023,BCHUSDT,116.7,117.1,113.8,114.7,13837.853,1596332.435,7792
1.68454E+12,5/20/2023,BCHUSDT,115.5,117,114.6,116.6,17287.171,2002943.348,8044
1.68445E+12,5/19/2023,BCHUSDT,115.2,116.1,114.4,115.6,17682.876,2040577.778,9517
1.68437E+12,5/18/2023,BCHUSDT,118,118.1,112.8,115.3,31700.593,3669723.412,17971
1.68428E+12,5/17/2023,BCHUSDT,116.7,118.8,115.3,118,40417.3,4724284.081,18533
1.6842E+12,5/16/2023,BCHUSDT,116.1,117.6,114,116.7,24166.612,2799502.426,15379
1.68411E+12,5/15/2023,BCHUSDT,115.2,120.9,114.2,116.1,77793.594,9202342.057,29682
1.68402E+12,5/14/2023,BCHUSDT,113,116.1,112.9,115.2,27029.827,3095786.593,12390
1.68394E+12,5/13/2023,BCHUSDT,114.7,115,112.5,113,21084.691,2394928.435,10144
1.68385E+12,5/12/2023,BCHUSDT,113.2,115.7,112.2,114.7,43317.957,4942995.716,24557
1.68376E+12,5/11/2023,BCHUSDT,115.7,115.8,110,113.2,47106.723,5330156.839,21491
1.68368E+12,5/10/2023,BCHUSDT,122.2,124.7,111.5,115.8,154502.293,18254342.18,60177
1.68359E+12,5/9/2023,BCHUSDT,111.2,123.9,110.1,122.2,235926.06,28243410.5,89654
1.6835E+12,5/8/2023,BCHUSDT,116,116.8,107,111.1,52782.197,5909544.867,28761
1.68342E+12,5/7/2023,BCHUSDT,116.9,117.7,115.8,116.1,13454.768,1573159.702,9474
1.68333E+12,5/6/2023,BCHUSDT,120,120.6,115.3,117,28806.377,3386763.405,15750
1.68324E+12,5/5/2023,BCHUSDT,117.3,121,116.5,120,27513.874,3280113.721,16175
1.68316E+12,5/4/2023,BCHUSDT,120,120.2,116.4,117.3,18089.498,2140326.363,11400
1.68307E+12,5/3/2023,BCHUSDT,119.2,120.8,115.9,120,28932.33,3421277.932,16434
1.68299E+12,5/2/2023,BCHUSDT,117,119.7,116.3,119.3,24470.907,2894612.73,14846
1.6829E+12,5/1/2023,BCHUSDT,117.6,118.4,115.1,117.1,22506.425,2625012.082,16248
1.68281E+12,4/30/2023,BCHUSDT,119.7,121,117.6,117.7,23552.937,2812985.454,12689
1.68273E+12,4/29/2023,BCHUSDT,118,120.2,117.6,119.7,16978.827,2022819.734,11407
1.68264E+12,4/28/2023,BCHUSDT,117,120.4,115.3,118,53783.839,6312544.956,26533
1.68255E+12,4/27/2023,BCHUSDT,117.6,120.4,116.2,117,77460.877,9111005.474,40009
1.68247E+12,4/26/2023,BCHUSDT,120.2,123.4,111.5,117.6,62735.559,7486276.055,28026
1.68238E+12,4/25/2023,BCHUSDT,119.2,120.4,116.6,120.2,30910.417,3654733.319,15552
1.68229E+12,4/24/2023,BCHUSDT,119.8,121.6,118.7,119.2,39350.504,4725534.385,16784
1.68221E+12,4/23/2023,BCHUSDT,122.1,122.8,117.9,119.8,23382.799,2819608.35,13424
1.68212E+12,4/22/2023,BCHUSDT,119.8,122.8,119.1,122,28302.999,3427361.698,11201
1.68204E+12,4/21/2023,BCHUSDT,123.1,125.1,118.3,119.8,44640.146,5444043.793,23319
1.68195E+12,4/20/2023,BCHUSDT,124.8,126.9,121.4,123.2,39412.507,4897773.23,22937
1.68186E+12,4/19/2023,BCHUSDT,133.6,133.9,122.6,124.9,77117.412,9818376.305,37710
1.68178E+12,4/18/2023,BCHUSDT,131.5,134.2,130.3,133.6,33908.827,4503467.918,16745
1.68169E+12,4/17/2023,BCHUSDT,134.3,134.5,130.2,131.5,39990.332,5285323.484,16018
1.6816E+12,4/16/2023,BCHUSDT,132.5,136.1,131.1,134.4,40000.535,5358224.677,18359
1.68152E+12,4/15/2023,BCHUSDT,132.2,133.6,130.7,132.5,37448.831,4942703.062,14536
1.68143E+12,4/14/2023,BCHUSDT,131.1,134.4,128.9,132.2,60371.409,8005716.782,26468
1.68134E+12,4/13/2023,BCHUSDT,128.8,132.6,128,131.1,52186.844,6805120.507,17838
1.68126E+12,4/12/2023,BCHUSDT,129.1,129.9,125.4,128.7,42992.598,5495778.28,19201
1.68117E+12,4/11/2023,BCHUSDT,128,130.7,127.4,129.1,43069.52,5554906.321,21169
1.68108E+12,4/10/2023,BCHUSDT,125.5,128.7,124,128,32059.604,4042907.751,15219
1.681E+12,4/9/2023,BCHUSDT,123.7,126.4,123.3,125.6,17464.437,2176276.459,10100
1.68091E+12,4/8/2023,BCHUSDT,124.5,125.2,122.8,123.8,17951.776,2228446.085,8309
